user_reviews,price_final,positive_ratio,discount,year_release,platform,app_id
13621.0,19.99,93.0,50.0,2022,2,1850570
12359.0,8.99,76.0,40.0,2013,4,232430
16617.0,9.99,93.0,50.0,2007,3,7940
36852.0,8.99,92.0,70.0,2020,2,1139900
2137.0,4.99,91.0,75.0,2018,2,534550
3787.0,8.99,93.0,70.0,2020,2,1186640
708.0,3.99,98.0,20.0,2022,2,1701800
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
342.0,5.99,94.0,70.0,2014,2,319170
13621.0,19.99,93.0,50.0,2022,2,1850570
2235.0,14.99,85.0,50.0,2019,2,1049320
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
21828.0,17.99,94.0,70.0,2021,2,1088850
913.0,23.99,79.0,40.0,2022,2,1602080
7318.0,7.49,93.0,75.0,2020,2,803330
40.0,5.99,90.0,70.0,2015,2,346060
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
13621.0,19.99,93.0,50.0,2022,2,1850570
47590.0,9.99,84.0,50.0,2020,2,1404210
5877.0,13.49,71.0,55.0,2021,2,1715130
94812.0,5.99,94.0,80.0,2016,4,391220
14618.0,9.99,88.0,50.0,2020,2,960990
11516.0,4.49,69.0,85.0,2020,2,1030830
